,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
376,coos bay,us,43.37,-124.22,59.9,82.0,90.0,12.75
377,san carlos de bariloche,ar,-41.13,-71.31,39.2,80.0,75.0,20.8
378,saint-pierre,pm,46.77,-56.17,50.0,93.0,75.0,6.93
380,padampur,in,29.71,73.62,82.92,58.0,64.0,5.03
381,muswellbrook,au,-32.27,150.89,47.28,83.0,0.0,3.36
382,tsumeb,na,-19.25,17.72,42.24,48.0,0.0,5.26
383,wanning,cn,18.8,110.4,82.74,100.0,56.0,11.18
384,thinadhoo,mv,0.53,72.93,81.84,100.0,76.0,3.91
385,constitucion,mx,23.99,-104.67,75.2,33.0,90.0,13.87
386,scarborough,tt,11.18,-60.73,80.6,78.0,20.0,9.17
387,monze,zm,-16.28,27.48,52.68,82.0,20.0,4.25
388,yining,cn,29.04,114.56,81.03,83.0,0.0,3.36
389,bagdarin,ru,54.44,113.59,51.06,99.0,92.0,7.38
390,imbituba,br,-28.24,-48.67,57.2,93.0,75.0,6.93
391,alofi,nu,-19.06,-169.92,78.8,88.0,36.0,12.75
394,naze,jp,28.37,129.48,77.0,94.0,75.0,6.93
395,azuaga,es,38.26,-5.68,72.3,48.0,0.0,7.27
396,mount gambier,au,-37.83,140.78,46.92,95.0,80.0,2.68
398,buwenge,ug,0.65,33.17,60.33,93.0,32.0,3.13
399,bilibino,ru,68.06,166.44,53.94,100.0,92.0,2.91
400,manokwari,id,-0.87,134.08,80.58,100.0,20.0,5.59
401,mecca,sa,21.43,39.83,93.2,46.0,0.0,2.13
402,gamba,ga,-2.72,10.02,73.47,100.0,12.0,8.5
403,kupang,id,-10.16,123.6,82.4,61.0,20.0,17.22
404,nouadhibou,mr,20.93,-17.03,68.0,77.0,0.0,16.11
405,esperance,au,-33.86,121.89,38.01,87.0,0.0,5.93
406,moindou,nc,-21.69,165.68,75.2,47.0,0.0,11.41
407,oyama,jp,36.31,139.8,80.6,57.0,40.0,2.24
408,kiknur,ru,57.3,47.21,67.98,75.0,12.0,2.91
409,kalmunai,lk,7.42,81.82,72.48,99.0,24.0,3.02
410,zarubino,ru,42.65,131.06,66.54,76.0,48.0,4.36
411,sirjan,ir,29.44,55.67,57.63,26.0,0.0,3.13
412,giussano,it,45.7,9.21,64.38,64.0,0.0,5.82
413,yeniseysk,ru,58.45,92.17,70.77,51.0,8.0,3.91
414,vanimo,pg,-2.67,141.3,81.48,100.0,24.0,6.82
415,nata,bw,-20.21,26.19,57.09,43.0,0.0,11.63
416,sept-iles,ca,50.2,-66.38,51.8,81.0,40.0,2.24
417,lethem,gy,3.38,-59.8,72.57,97.0,76.0,3.13
